class,acc_val,acc_v2,drop
497,0.76,0.0,0.76
250,0.72,0.0,0.72
204,0.82,0.1,0.72
532,0.86,0.2,0.6599999999999999
201,0.74,0.1,0.64
601,0.9,0.3,0.6000000000000001
218,1.0,0.4,0.6
414,0.66,0.1,0.56
508,0.76,0.2,0.56
859,0.96,0.4,0.5599999999999999
56,0.96,0.4,0.5599999999999999
609,0.94,0.4,0.5399999999999999
852,0.94,0.4,0.5399999999999999
978,0.72,0.2,0.52
470,0.92,0.4,0.52
888,0.92,0.4,0.52
679,1.0,0.5,0.5
809,0.9,0.4,0.5
504,0.6,0.1,0.5
916,1.0,0.5,0.5
265,0.8,0.3,0.5
231,0.68,0.2,0.48000000000000004
57,0.98,0.5,0.48
472,0.98,0.5,0.48
693,0.96,0.5,0.45999999999999996
650,0.86,0.4,0.45999999999999996
135,0.96,0.5,0.45999999999999996
393,0.96,0.5,0.45999999999999996
605,0.96,0.5,0.45999999999999996
590,0.74,0.3,0.44
907,0.74,0.3,0.44
406,0.74,0.3,0.44
951,0.94,0.5,0.43999999999999995
581,0.84,0.4,0.43999999999999995
834,0.94,0.5,0.43999999999999995
189,0.94,0.5,0.43999999999999995
700,0.84,0.4,0.43999999999999995
878,0.94,0.5,0.43999999999999995
515,0.84,0.4,0.43999999999999995
718,0.82,0.4,0.41999999999999993
516,0.82,0.4,0.41999999999999993
198,0.9,0.5,0.4
186,0.8,0.4,0.4
843,1.0,0.6,0.4
937,0.9,0.5,0.4
850,0.9,0.5,0.4
429,0.8,0.4,0.4
193,0.7,0.3,0.39999999999999997
179,0.78,0.4,0.38
846,0.88,0.5,0.38
945,0.98,0.6,0.38
643,0.88,0.5,0.38
898,0.88,0.5,0.38
229,0.98,0.6,0.38
460,0.88,0.5,0.38
730,0.98,0.6,0.38
623,0.66,0.3,0.36000000000000004
824,0.96,0.6,0.36
738,0.96,0.6,0.36
992,0.86,0.5,0.36
411,0.96,0.6,0.36
566,0.86,0.5,0.36
548,0.86,0.5,0.36
982,0.96,0.6,0.36
157,0.96,0.6,0.36
305,0.96,0.6,0.36
631,0.86,0.5,0.36
474,0.86,0.5,0.36
230,0.96,0.6,0.36
263,0.96,0.6,0.36
197,0.94,0.6,0.33999999999999997
214,0.94,0.6,0.33999999999999997
819,0.84,0.5,0.33999999999999997
665,0.94,0.6,0.33999999999999997
196,0.74,0.4,0.33999999999999997
68,0.44,0.1,0.33999999999999997
774,0.94,0.6,0.33999999999999997
753,0.94,0.6,0.33999999999999997
525,0.92,0.6,0.32000000000000006
709,0.92,0.6,0.32000000000000006
194,0.92,0.6,0.32000000000000006
784,0.92,0.6,0.32000000000000006
872,0.92,0.6,0.32000000000000006
733,0.82,0.5,0.31999999999999995
823,1.0,0.7,0.30000000000000004
817,0.8,0.5,0.30000000000000004
669,1.0,0.7,0.30000000000000004
130,1.0,0.7,0.30000000000000004
328,0.9,0.6,0.30000000000000004
677,0.9,0.6,0.30000000000000004
464,0.8,0.5,0.30000000000000004
707,1.0,0.7,0.30000000000000004
441,0.8,0.5,0.30000000000000004
199,0.9,0.6,0.30000000000000004
546,0.9,0.6,0.30000000000000004
521,0.9,0.6,0.30000000000000004
542,0.8,0.5,0.30000000000000004
988,1.0,0.7,0.30000000000000004
74,0.5,0.2,0.3
673,0.6,0.3,0.3
536,0.7,0.4,0.29999999999999993
976,0.7,0.4,0.29999999999999993
944,0.88,0.6,0.28
281,0.68,0.4,0.28
578,0.88,0.6,0.28
379,0.98,0.7,0.28
729,0.78,0.5,0.28
259,0.98,0.7,0.28
706,0.68,0.4,0.28
912,0.88,0.6,0.28
837,0.68,0.4,0.28
509,0.88,0.6,0.28
903,0.98,0.7,0.28
217,0.98,0.7,0.28
69,0.98,0.7,0.28
562,0.98,0.7,0.28
518,0.96,0.7,0.26
234,0.96,0.7,0.26
452,0.96,0.7,0.26
31,0.96,0.7,0.26
166,0.86,0.6,0.26
494,0.86,0.6,0.26
6,0.96,0.7,0.26
436,0.86,0.6,0.26
946,0.96,0.7,0.26
334,0.96,0.7,0.26
926,0.96,0.7,0.26
550,0.86,0.6,0.26
695,0.96,0.7,0.26
760,0.96,0.7,0.26
942,0.96,0.7,0.26
721,0.96,0.7,0.26
884,0.96,0.7,0.26
980,0.96,0.7,0.26
109,0.86,0.6,0.26
329,0.94,0.7,0.24
303,0.94,0.7,0.24
979,0.84,0.6,0.24
519,0.74,0.5,0.24
454,0.94,0.7,0.24
648,0.94,0.7,0.24
790,0.94,0.7,0.24
301,0.94,0.7,0.24
582,0.74,0.5,0.24
449,0.94,0.7,0.24
775,0.94,0.7,0.24
182,0.94,0.7,0.24
440,0.94,0.7,0.24
619,0.64,0.4,0.24
864,0.94,0.7,0.24
67,0.94,0.7,0.24
866,0.94,0.7,0.24
893,0.94,0.7,0.24
538,0.84,0.6,0.24
223,0.94,0.7,0.24
782,0.74,0.5,0.24
96,0.94,0.7,0.24
159,0.94,0.7,0.24
952,0.92,0.7,0.22000000000000008
442,0.92,0.7,0.22000000000000008
873,0.92,0.7,0.22000000000000008
858,0.92,0.7,0.22000000000000008
547,0.92,0.7,0.22000000000000008
282,0.32,0.1,0.22
841,0.82,0.6,0.21999999999999997
415,0.72,0.5,0.21999999999999997
972,0.82,0.6,0.21999999999999997
827,0.82,0.6,0.21999999999999997
402,0.72,0.5,0.21999999999999997
572,0.82,0.6,0.21999999999999997
663,0.82,0.6,0.21999999999999997
342,0.9,0.7,0.20000000000000007
949,0.8,0.6,0.20000000000000007
764,0.8,0.6,0.20000000000000007
431,0.9,0.7,0.20000000000000007
697,0.9,0.7,0.20000000000000007
58,0.9,0.7,0.20000000000000007
184,0.9,0.7,0.20000000000000007
455,0.9,0.7,0.20000000000000007
249,0.9,0.7,0.20000000000000007
608,0.9,0.7,0.20000000000000007
708,0.9,0.7,0.20000000000000007
264,0.9,0.7,0.20000000000000007
158,0.8,0.6,0.20000000000000007
434,0.9,0.7,0.20000000000000007
242,0.9,0.7,0.20000000000000007
558,0.8,0.6,0.20000000000000007
151,0.9,0.7,0.20000000000000007
861,0.9,0.7,0.20000000000000007
80,0.9,0.7,0.20000000000000007
101,0.7,0.5,0.19999999999999996
915,1.0,0.8,0.19999999999999996
275,1.0,0.8,0.19999999999999996
19,1.0,0.8,0.19999999999999996
341,0.7,0.5,0.19999999999999996
929,1.0,0.8,0.19999999999999996
874,1.0,0.8,0.19999999999999996
399,1.0,0.8,0.19999999999999996
239,1.0,0.8,0.19999999999999996
457,1.0,0.8,0.19999999999999996
802,1.0,0.8,0.19999999999999996
617,1.0,0.8,0.19999999999999996
407,1.0,0.8,0.19999999999999996
829,1.0,0.8,0.19999999999999996
968,0.68,0.5,0.18000000000000005
168,0.88,0.7,0.18000000000000005
213,0.88,0.7,0.18000000000000005
